Designator,Mid X,Mid Y,Rotation,Layer
C1,153.925,-124.2,0.0,top
C10,143.65,-115.825,90.0,top
C2,148.4,-103.7,270.0,top
C3,150.4,-103.7,270.0,top
C4,153.2,-105.475,0.0,top
C5,153.2,-103.675,0.0,top
C6,150.7,-100.45,270.0,top
C7,148.95,-100.425,270.0,top
C8,158.925,-124.2,180.0,top
C9,137.7,-115.8,90.0,top
J1,152.8,-128.7,180.0,top
J2,136.1,-81.7,230.7,top
J3,160.1,-96.65,270.0,top
J4,140.3,-129.0,90.0,top
J5,130.9,-117.7,0.0,top
Q1,139.94,-123.07,270.0,top
R1,132.175,-125.65,180.0,top
R2,131.9,-103.5,270.0,top
R3,131.9,-99.9,270.0,top
R4,150.725,-124.2,0.0,top
R5,146.45,-124.2,180.0,top
R6,143.3,-87.7,180.0,top
R7,143.3,-89.5,180.0,top
R8,139.9,-87.7,180.0,top
R9,139.9125,-89.5,180.0,top
U1,152.925,-116.025,90.0,top
U2,153.5,-100.7675,90.0,top
U3,140.75,-100.85,270.0,top
U4,140.72,-115.88,90.0,top
Y1,161.7,-117.7,90.0,top
